channel_name,video_title,published_date,post_hour,day_of_week,month,views,likes,comments,engagement_rate
T-Series,Khot Kapat (Lyrical) | Tara - The Journey of Love ,2026-06-28 14:49:17,14,Sunday,Jun 2026,1102,33,4,3.36
T-Series,Aaja Ab Jee Le Zara (Lyrical) | Ankur Arora Murder,2026-06-28 14:49:03,14,Sunday,Jun 2026,1546,32,3,2.26
T-Series,Roshni (Lyrical) | Ankur Arora Murder Case | Shaan,2026-06-28 14:48:51,14,Sunday,Jun 2026,569,17,2,3.34
T-Series,Policegiri (Title Track) (Lyrical) | Sanjay Dutt |,2026-06-28 14:49:28,14,Sunday,Jun 2026,2715,57,10,2.47
T-Series,Baaton Ko Teri (Lofi Mix): Arijit Singh | Himesh R,2026-06-28 11:32:15,11,Sunday,Jun 2026,34383,1001,61,3.09
T-Series,ZEHAR (Full Audio): VNT GABA | ANKURR | SHINE | T-,2026-06-28 07:50:27,7,Sunday,Jun 2026,4327,93,28,2.8
T-Series,Chalao Na Naino Se - 8K Video | Bol Bachchan | Aja,2026-06-28 05:30:19,5,Sunday,Jun 2026,56857,1321,86,2.47
T-Series,"Dhamaal 4: SAREE MV Out Now😍 Sanju Rathod,Tanishk ",2026-06-27 13:10:35,13,Saturday,Jun 2026,620830,7086,40,1.15
T-Series,"Dhamaal 4: SAREE MV | Sanju Rathod, Tanishk | Ajay",2026-06-27 13:00:06,13,Saturday,Jun 2026,6434402,56506,1525,0.9
T-Series,Never Freestyle (Full Audio): Thugs From Overseas ,2026-06-27 08:57:51,8,Saturday,Jun 2026,4550,92,28,2.64
